"lga","lga_ward","facilityName","facilityType","ownership","stateCode","lgaCode","facilityTypeCode","ownershipCode","facilityNoCode"
"AGEGE","Atobaje","Madek Hospital And Maternity Home","Primary","Private",24,"01",1,2,"0001"
"AGEGE","Atobaje","Adu Medical Clinic","Primary","Private",24,"01",1,2,"0002"
"AGEGE","Atobaje","Motolani Medical Centre","Secondary","Private",24,"01",2,2,"0003"
"AGEGE","Atobaje","Mayflower Clinic & Maternity Home","Primary","Private",24,"01",1,2,"0004"
"AGEGE","Atobaje","Habibat Convalescent Home","Primary","Private",24,"01",1,2,"0005"
"AGEGE","Atobaje","Desmond Dental Clinic","Primary","Private",24,"01",1,2,"0006"
"AGEGE","Dopemu","Promise Medical Centre","Secondary","Private",24,"01",2,2,"0007"
"AGEGE","Dopemu","Mobonike Hospital","Secondary","Private",24,"01",2,2,"0008"
"AGEGE","Dopemu","E-Cares Medical Centre","Primary","Private",24,"01",1,2,"0009"
"AGEGE","Dopemu","Aisha Memorial Nursing Home","Primary","Private",24,"01",1,2,"0010"
"AGEGE","Dopemu","Cradle Medical Ltd","Primary","Private",24,"01",1,2,"0011"
"AGEGE","Dopemu","Al-Imaan Hospital & Maternity Home","Primary","Private",24,"01",1,2,"0012"
"AGEGE","Dopemu","Olaotan Nursing Home","Primary","Private",24,"01",1,2,"0013"
"AGEGE","Dopemu","Dopemu PHC","Primary","Public",24,"01",1,1,"0014"
"AGEGE","Isale odo","Salam-Salam Nursing Home","Primary","Private",24,"01",1,2,"0015"
"AGEGE","Isale odo","Country Home Clinic","Primary","Private",24,"01",1,2,"0016"
"AGEGE","Isale odo","Beta Hospital","Secondary","Private",24,"01",2,2,"0017"
"AGEGE","Isale oja","St Sabina Clinic","Primary","Private",24,"01",1,2,"0018"
"AGEGE","Isale oja","St Victoria Maternity Home","Primary","Private",24,"01",1,2,"0019"
"AGEGE","Isale oja","Best Hope Clinic","Primary","Private",24,"01",1,2,"0020"
"AGEGE","Isale oja","Prime Health Gate Medicare","Primary","Private",24,"01",1,2,"0021"
"AGEGE","Isale oja","T Happy Home Clinic","Primary","Private",24,"01",1,2,"0022"
"AGEGE","Isale oja","White Chapel Hospital","Secondary","Private",24,"01",2,2,"0023"
"AGEGE","Isale oja","Iloro PHC","Primary","Public",24,"01",1,1,"0024"
"AGEGE","Isale oja","Dopemu HP","Primary","Public",24,"01",1,1,"0025"
"AGEGE","Isale oja","Krobon Hospital","primary","Private",24,"01",1,2,"0026"
"AGEGE","Keke","Mariam Special Maternity Hospital","Primary","Private",24,"01",1,2,"0027"
"AGEGE","Keke","Rock Medical Clinic","Primary","Private",24,"01",1,2,"0028"
"AGEGE","Keke","Sango PHC","Primary","Public",24,"01",1,1,"0029"
"AGEGE","Keke","Salem Hospital","Primary","Private",24,"01",1,2,"0030"
"AGEGE","Keke","Mount Zion Convalescent Home","Primary","Private",24,"01",1,2,"0031"
"AGEGE","Keke","The Apostolic Church, Agege Area,  Medical Centre","Primary","Private",24,"01",1,2,"0032"
"AGEGE","Oke-koto","Graces Medical Clinic","Primary","Private",24,"01",1,2,"0033"
"AGEGE","Oke-koto","Adeoti Group Nursing Home","Primary","Private",24,"01",1,2,"0034"
"AGEGE","Oke-koto","All Soul Infirmary","Secondary","Private",24,"01",2,2,"0035"
"AGEGE","Oke-koto","Methodist Church Clinic","Secondary","Private",24,"01",2,2,"0036"
"AGEGE","Orile","Powerline PHC","Primary","Public",24,"01",1,1,"0037"
"AGEGE","Orile","Rambola Abiola Memorial Hospital","Primary","Private",24,"01",1,2,"0038"
"AGEGE","Orile","Tobi Convalescent Home","Primary","Private",24,"01",1,2,"0039"
"AGEGE","Orile","Olu Adebo Hospital","Primary","Private",24,"01",1,2,"0040"
"AGEGE","Orile","Sabico Specialist Hospital","Primary","Private",24,"01",1,2,"0041"
"AGEGE","Orile","Globar Hospital & Maternity","Secondary","Private",24,"01",2,2,"0042"
